"","X.1","nome.y","nome.x","X.1.x","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.2.x","X.1.y","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X.2.y","minuto","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"60",60,"Leicester","Chelsea",60,1003,631,60,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"61",61,"Leicester","Chelsea",61,1003,631,61,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"62",62,"Leicester","Chelsea",62,1003,631,62,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"63",63,"Leicester","Chelsea",63,1003,631,63,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"64",64,"Leicester","Chelsea",64,1003,631,64,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"65",65,"Leicester","Chelsea",65,1003,631,65,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"66",66,"Leicester","Chelsea",66,1003,631,66,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"67",67,"Leicester","Chelsea",67,1003,631,67,2,0,1,1,0,0,0,0,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"68",68,"Leicester","Chelsea",68,1003,631,68,2,0,1,1,0,0,0,1,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"69",69,"Leicester","Chelsea",69,1003,631,69,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
"70",70,"Leicester","Chelsea",70,1003,631,70,2,0,1,1,0,0,1,2,0,0,"HOME",7,7,7,7,7,4,1,2,12,3,13,12,12,12,12,7,2,2,3,8,-3,8
